,Team
United States,87
Soviet Union,58
Italy,29
Sweden,27
France,26
Great Britain,25
Norway,24
Pakistan,16
Russia,15
Canada,14
Denmark,13
Germany,12
Romania,10
Australia,10
East Germany,9
Japan,8
Nigeria,7
Switzerland,7
Spain,7
Turkey,7
Cuba,7
India,6
Yugoslavia,6
New Zealand,6
South Korea,6
Finland,6
Belgium,5
Hungary,5
Uruguay,5
Argentina,5
Switzerland-1,4
Brazil,4
Jamaica,4
Netherlands,4
Lithuania,3
West Germany,3
Vesper Boat Club,3
Belarus,3
Cameroon,2
Norna,2
Ethiopia,2
Germany-1,2
East Germany-1,2
Greece,2
Great Britain-1,2
France-1,2
Union des Socits Franais de Sports Athletiques,2
Austria,2
Jordan,1
Bissbi,1
Carabinier-15,1
South Africa,1
Heira II,1
Mosk II,1
"Large boat, Central Naval Prep School ""Poros""-1",1
Nykjbings paa Falster,1
Taifun,1
Magda IX,1
Ludwigshafener Ruderverein,1
Canada-1,1
England-1,1
Hera-1,1
Individual Olympic Athletes,1
Trinidad and Tobago,1
Indonesia-1,1
Austria-1,1
United Arab Emirates,1
Kazakhstan,1
Georgia,1
Mexico,1
North Korea,1
Uzbekistan,1
Azerbaijan,1
Unified Team,1
Brazil-1,1
Italy-1,1
Serbia,1
Armenia,1
Morocco,1
Bulgaria,1
Ukraine,1
Kenya,1
Poland,1
Uganda,1
Denmark/Sweden,1
