,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
9260,5093,William Peixoto Arjona,M,37.0,186.0,78.0,Brazil,BRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
8300,4575,Oleg Antonov,M,28.0,198.0,88.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
9895,5414,Migran Arutyunyan,M,27.0,166.0,67.0,Armenia,ARM,2016 Summer,2016.0,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
5458,3077,Ida Alstad,F,31.0,172.0,60.0,Norway,NOR,2016 Summer,2016.0,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
6356,3561,Stanley Amuzie,M,20.0,171.0,85.0,Nigeria,NGR,2016 Summer,2016.0,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
2926,1634,Taha Akgl,M,25.0,192.0,125.0,Turkey,TUR,2016 Summer,2016.0,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
2955,1647,Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,Uzbekistan,UZB,2016 Summer,2016.0,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze
2961,1649,Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold
450,250,Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,IRI,2016 Summer,2016.0,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
6363,3566,An Ba-Ul,M,22.0,169.0,66.0,South Korea,KOR,2016 Summer,2016.0,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Silver
3020,1682,Morolake Akinosun,F,22.0,163.0,61.0,United States,USA,2016 Summer,2016.0,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1029,576,"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,Spain,ESP,2016 Summer,2016.0,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
10134,5542,"Geraldina Rachel ""Dina"" Asher-Smith",F,20.0,164.0,55.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
3022,1683,Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,United States,USA,2016 Summer,2016.0,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
1080,608,Ahmad Abughaush,M,20.0,178.0,68.0,Jordan,JOR,2016 Summer,2016.0,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
3070,1716,Daniel Akpeyi,M,30.0,187.0,80.0,Nigeria,NGR,2016 Summer,2016.0,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
3095,1730,Monica Aksamit,F,26.0,183.0,74.0,United States,USA,2016 Summer,2016.0,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze
11346,6204,Almaz Ayana Eba,F,24.0,166.0,47.0,Ethiopia,ETH,2016 Summer,2016.0,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",Gold
6853,3845,"Matthew John ""Matt"" Anderson",M,29.0,202.0,100.0,United States,USA,2016 Summer,2016.0,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
2044,1131,Clarisse Agbegnenou,F,23.0,164.0,66.0,France,FRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
3306,1858,Fehaid Al-Deehani,M,49.0,178.0,95.0,Individual Olympic Athletes,IOA,2016 Summer,2016.0,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold
2280,1262,Sandra Aguilar Navarro,F,23.0,167.0,50.0,Spain,ESP,2016 Summer,2016.0,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
11293,6174,Viktor Axelsen,M,22.0,194.0,88.0,Denmark,DEN,2016 Summer,2016.0,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,Bronze
2331,1301,Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Indonesia,INA,2016 Summer,2016.0,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver
8605,4724,Emilia Elisabeth Appelqvist,F,26.0,168.0,65.0,Sweden,SWE,2016 Summer,2016.0,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
796,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
2616,1466,Matteo Aicardi,M,30.0,192.0,102.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
2635,1478,Rosaria Aiello,F,27.0,172.0,74.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
7014,3936,Jonna Andersson,F,23.0,167.0,61.0,Sweden,SWE,2016 Summer,2016.0,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
797,455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
